IncidentNumber,IncidentNumber,CalYear,HourOfCall,ResourceMobilisationId,Resource_Code,PerformanceReporting,DateAndTimeMobilised,DateAndTimeMobile,DateAndTimeArrived,TurnoutTimeSeconds,TravelTimeSeconds,AttendanceTimeSeconds,DateAndTimeLeft,DateAndTimeReturned,DeployedFromStation_Code,DeployedFromStation_Name,DeployedFromLocation,PumpOrder,PlusCode_Code,PlusCode_Description,DelayCodeId,DelayCode_Description
235138081,235138081,2009,0,38426,H271,1,2009-01-01 00:02:27,,2009-01-01 00:07:46,,,319,2009-01-01 00:16:46,2009-01-01 00:23:55,H27,Battersea,Home Station,1,Initial,Initial Mobilisation,,
235138081,235138081,2009,0,38427,H212,2,2009-01-01 00:02:27,2009-01-01 00:06:40,2009-01-01 00:08:09,253.0,89.0,342,2009-01-01 00:12:17,2009-01-01 00:12:17,H21,Clapham,Home Station,2,Initial,Initial Mobilisation,,
2091,2091,2009,0,38429,A341,1,2009-01-01 00:04:09,2009-01-01 00:06:40,2009-01-01 00:09:17,151.0,157.0,308,2009-01-01 00:16:33,2009-01-01 00:17:48,A34,Edmonton,Home Station,1,Initial,Initial Mobilisation,,
3091,3091,2009,0,38430,G232,1,2009-01-01 00:04:57,2009-01-01 00:06:45,2009-01-01 00:08:27,108.0,102.0,210,2009-01-01 00:20:38,2009-01-01 00:20:38,G23,Hillingdon,Home Station,1,Initial,Initial Mobilisation,,
5091,5091,2009,0,38432,A311,1,2009-01-01 00:06:04,2009-01-01 00:07:58,2009-01-01 00:09:57,114.0,119.0,233,2009-01-01 00:11:58,2009-01-01 00:22:29,A31,Holloway,Home Station,1,Initial,Initial Mobilisation,,
5091,5091,2009,0,38431,A312,2,2009-01-01 00:06:04,2009-01-01 00:08:26,2009-01-01 00:10:14,142.0,108.0,250,,2009-01-01 00:18:53,A31,Holloway,Home Station,2,Initial,Initial Mobilisation,,
6091,6091,2009,0,38434,A432,1,2009-01-01 00:06:30,2009-01-01 00:07:53,2009-01-01 00:09:22,83.0,89.0,172,2009-01-01 00:15:57,2009-01-01 00:23:10,A43,Kentish Town,Home Station,1,Initial,Initial Mobilisation,,
6091,6091,2009,0,38435,A431,2,2009-01-01 00:06:30,2009-01-01 00:08:05,2009-01-01 00:10:12,95.0,127.0,222,,2009-01-01 00:22:34,A43,Kentish Town,Home Station,2,Initial,Initial Mobilisation,,
8091,8091,2009,0,38436,E231,1,2009-01-01 00:13:34,2009-01-01 00:15:33,2009-01-01 00:22:16,119.0,403.0,522,2009-01-01 00:29:12,2009-01-01 00:29:12,E23,East Greenwich,Home Station,1,Initial,Initial Mobilisation,12.0,Not held up
9091,9091,2009,0,38438,G381,1,2009-01-01 00:14:12,2009-01-01 00:17:10,2009-01-01 00:19:54,178.0,164.0,342,2009-01-01 00:43:10,2009-01-01 00:50:17,G38,Heston,Home Station,1,Initial,Initial Mobilisation,,
067893-30042024,067893-30042024,2024,0,6645192,H371,1,2024-04-29 23:43:21,2024-04-29 23:45:01,2024-04-29 23:47:29,100.0,148.0,248,2024-04-30 00:03:06,,H37,Wallington,Home Station,1,Initial,Initial Mobilisation,,
067894-30042024,067894-30042024,2024,0,6645193,F362,1,2024-04-29 23:44:01,2024-04-29 23:46:14,2024-04-29 23:51:26,133.0,312.0,445,2024-04-30 01:33:08,,F36,Walthamstow,Home Station,1,Initial,Initial Mobilisation,9.0,"Traffic, roadworks, etc"
067886-30042024,067886-30042024,2024,0,6645194,A392,1,2024-04-29 23:46:09,2024-04-29 23:47:40,2024-04-29 23:54:19,91.0,399.0,490,2024-04-30 00:12:52,,A39,Finchley,Home Station,1,Initial,Initial Mobilisation,12.0,Not held up
067897-30042024,067897-30042024,2024,0,6645195,G331,1,2024-04-29 23:48:17,2024-04-29 23:49:39,2024-04-29 23:52:40,82.0,181.0,263,2024-04-29 23:56:53,,G33,Kensington,Home Station,1,Initial,Initial Mobilisation,,
067898-30042024,067898-30042024,2024,0,6645196,F451,1,2024-04-29 23:49:17,2024-04-29 23:51:14,2024-04-29 23:54:06,117.0,172.0,289,2024-04-29 23:57:54,,F45,Plaistow,Home Station,1,Initial,Initial Mobilisation,,
067898-30042024,067898-30042024,2024,0,6645197,F221,2,2024-04-29 23:49:17,2024-04-29 23:50:28,2024-04-29 23:54:15,71.0,227.0,298,2024-04-30 00:01:30,,F22,Poplar,Home Station,2,Initial,Initial Mobilisation,,
067896-30042024,067896-30042024,2024,0,6645198,A332,1,2024-04-29 23:49:42,2024-04-29 23:52:18,2024-04-29 23:57:50,156.0,332.0,488,2024-04-30 00:00:29,,A32,Hornsey,Other Station,1,Initial,Initial Mobilisation,12.0,Not held up
067902-30042024,067902-30042024,2024,0,6645199,E431,1,2024-04-29 23:55:10,2024-04-29 23:56:55,2024-04-30 00:00:43,105.0,228.0,333,2024-04-30 00:12:23,,E43,Beckenham,Home Station,1,Initial,Initial Mobilisation,,
067901-30042024,067901-30042024,2024,0,6645200,A321,1,2024-04-29 23:55:39,,2024-04-29 23:56:11,,,32,2024-04-30 00:17:19,,A32,Hornsey,Home Station,1,Initial,Initial Mobilisation,,
067903-30042024,067903-30042024,2024,0,6645201,F301,1,2024-04-29 23:59:36,2024-04-30 00:02:20,2024-04-30 00:04:26,164.0,126.0,290,2024-04-30 00:25:57,,F30,Leytonstone,Home Station,1,Initial,Initial Mobilisation,,
